,Vocab,CEFR
0,a,a1
1,an,a1
2,about,a1
3,above,a1
4,across,a1
5,action,a1
6,activity,a1
7,actor,a1
8,actress,a1
9,add,a1
10,address,a1
11,adult,a1
12,advice,a1
13,afraid ,a1
14,after,a1
15,afternoon,a1
16,again,a1
17,age,a1
18,ago,a1
19,agree,a1
20,air,a1
21,airport,a1
22,all,a1
23,also,a1
24,always,a1
25,amazing ,a1
26,and,a1
27,angry ,a1
28,animal,a1
29,another,a1
30,answer,a1
31,any,a1
32,anyone,a1
33,anything,a1
34,apartment,a1
35,apple,a1
36,April,a1
37,area,a1
38,arm,a1
39,around,a1
40,arrive,a1
41,art,a1
42,article,a1
43,artist,a1
44,as,a1
45,ask,a1
46,at,a1
47,August,a1
48,aunt,a1
49,autumn,a1
50,away,a1
51,baby,a1
52,back,a1
53,bad ,a1
54,bag,a1
55,ball,a1
56,banana,a1
57,band,a1
58,bank,a1
59,bath,a1
60,bathroom,a1
61,be,a1
62,beach,a1
63,beautiful ,a1
64,because,a1
65,become,a1
66,bed,a1
67,bedroom,a1
68,beer,a1
69,before,a1
70,begin,a1
71,beginning,a1
72,behind,a1
73,believe,a1
74,below,a1
75,best ,a1
76,better ,a1
77,between,a1
78,bicycle,a1
79,big ,a1
80,bike,a1
81,bill,a1
82,bird,a1
83,birthday,a1
84,black ,a1
85,blog,a1
86,blonde ,a1
87,blue ,a1
88,boat,a1
89,body,a1
90,book,a1
91,boot,a1
92,bored ,a1
93,boring ,a1
94,born,a1
95,both,a1
96,bottle,a1
97,box,a1
98,boy,a1
99,boyfriend,a1
100,bread,a1
101,break,a1
102,breakfast,a1
103,bring,a1
104,brother,a1
105,brown ,a1
106,build,a1
107,building,a1
108,bus,a1
109,business,a1
110,busy ,a1
111,but,a1
112,butter,a1
113,buy,a1
114,by,a1
115,bye ,a1
116,cafe,a1
117,cake,a1
118,call,a1
119,camera,a1
120,can,a1
121,cannot,a1
122,capital ,a1
123,car,a1
124,card,a1
125,career,a1
126,carrot,a1
127,carry,a1
128,cat,a1
129,CD,a1
130,cent,a1
131,centre,a1
132,century,a1
133,chair,a1
134,change,a1
135,chart,a1
136,cheap ,a1
137,check,a1
138,cheese,a1
139,chicken,a1
140,child,a1
141,chocolate,a1
142,choose,a1
143,cinema,a1
144,city,a1
145,class,a1
146,classroom,a1
147,clean ,a1
