,A1,A1,A1,A1,A2,A2,A2,A2,B1,B1,B1,B1,B2,B2,B2,B2,C1,C1,C1,C1
,A2,B1,B2,C1,A1,B1,B2,C1,A1,A2,B2,C1,A1,A2,B1,C1,A1,A2,B1,B2
count,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
mean,17.417,3.809,2.748,2.605,10.847,4.465,2.995,2.861,2.749,3.635,29.138,16.214,1.978,2.715,29.731,42.983,1.663,2.175,14.395,38.442
std,10.349696963062591,2.014094232049631,1.2263767773404732,1.029580028475225,10.085599154750811,2.5256987457244686,1.5268615871474152,1.3533331114365388,2.1223815640698342,2.7588741157193644,22.279617082376834,10.788168917318158,1.2763797025748853,1.7824006148876748,25.135561172081196,30.730458377187823,1.0170867541490574,1.433328095527833,12.060033972564897,29.950219559322985
min,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25%,10.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,14.0,9.0,1.0,2.0,13.0,22.0,1.0,1.0,6.0,18.0
50%,15.0,3.0,2.0,2.0,7.0,4.0,2.0,2.0,2.0,3.0,23.0,13.0,2.0,2.0,23.0,34.0,1.0,2.0,11.0,30.0
75%,21.0,5.0,3.0,3.0,15.0,5.0,4.0,3.0,3.0,5.0,38.0,21.0,3.0,3.0,38.0,54.0,2.0,3.0,19.0,49.0
max,78.0,19.0,14.0,11.0,80.0,21.0,13.0,12.0,16.0,31.0,152.0,111.0,10.0,14.0,196.0,200.0,9.0,11.0,76.0,186.0
