,A1,A1,A1,A1,A2,A2,A2,A2,B1,B1,B1,B1,B2,B2,B2,B2,C1,C1,C1,C1
,A2,B1,B2,C1,A1,B1,B2,C1,A1,A2,B2,C1,A1,A2,B1,C1,A1,A2,B1,B2
count,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
mean,17.137,3.397,2.595,2.432,12.356,4.443,3.044,2.887,2.319,3.73,37.197,16.987,1.844,2.844,38.286,42.178,1.592,2.351,14.46,37.708
std,10.565977042889651,1.6155497519423565,1.0507516733648716,0.8485847607022552,10.570383010894053,2.6347092235563077,1.7283087256190781,1.508809964013865,1.6625290983928582,2.5705461885964587,27.65185013368578,11.297631055556172,1.161470194629643,1.7512083630255812,28.592826963309424,28.961130210388262,0.9468011578110953,1.4986811018509156,11.778842945771084,30.754749073770554
min,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25%,10.0,2.0,2.0,2.0,5.0,3.0,2.0,2.0,1.0,2.0,17.0,9.0,1.0,2.0,18.0,22.0,1.0,1.0,7.0,18.0
50%,14.0,3.0,2.0,2.0,9.0,4.0,2.0,2.0,2.0,3.0,29.0,14.0,1.0,3.0,31.0,33.0,1.0,2.0,12.0,28.0
75%,22.0,4.0,3.0,3.0,16.0,5.0,3.0,3.0,3.0,5.0,48.0,20.0,2.0,3.0,51.0,54.0,2.0,3.0,18.0,48.0
max,76.0,13.0,9.0,9.0,76.0,21.0,17.0,16.0,12.0,21.0,193.0,80.0,9.0,17.0,165.0,175.0,8.0,11.0,124.0,197.0
