,A1,A1,A1,A1,A2,A2,A2,A2,B1,B1,B1,B1,B2,B2,B2,B2,C1,C1,C1,C1
,A2,B1,B2,C1,A1,B1,B2,C1,A1,A2,B2,C1,A1,A2,B1,C1,A1,A2,B1,B2
count,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
mean,18.78,6.417,3.566,3.689,13.091,5.357,3.156,3.729,5.097,4.59,21.081,11.287,3.276,3.365,22.887,18.684,2.603,3.603,9.908,19.686
std,11.012123631110713,3.675135047534665,2.0425023416916352,1.7456592812821017,12.1141847630153,3.051698521129472,1.691900270857154,2.1076055136104177,3.870991549406375,3.2622909959938506,15.901361334561654,7.321081151662566,2.3339390033313316,2.0139093402710206,18.06384603381943,13.546056239350245,1.88969890775276,2.347104577964073,8.057323157007932,14.986594076106892
min,4.0,3.0,2.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,4.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0
25%,11.0,4.0,2.0,3.0,5.0,3.0,2.0,2.0,2.0,2.0,10.0,7.0,2.0,2.0,11.0,9.0,1.0,2.0,5.0,9.0
50%,16.0,5.0,3.0,3.0,10.0,4.0,2.0,3.0,4.0,4.0,16.0,9.0,3.0,3.0,18.0,15.0,2.0,3.0,8.0,15.0
75%,23.0,8.0,4.0,4.0,17.0,6.0,4.0,5.0,6.25,6.0,27.0,13.0,4.0,4.0,29.0,24.0,3.0,4.25,13.0,25.0
max,92.0,25.0,18.0,15.0,100.0,29.0,12.0,15.0,34.0,24.0,128.0,77.0,26.0,18.0,158.0,110.0,15.0,19.0,61.0,138.0
