,A1,A1,A1,A1,A2,A2,A2,A2,B1,B1,B1,B1,B2,B2,B2,B2,C1,C1,C1,C1
,A2,B1,B2,C1,A1,B1,B2,C1,A1,A2,B2,C1,A1,A2,B1,C1,A1,A2,B1,B2
count,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
mean,8.873,3.832,2.328,2.417,5.783,7.847,3.047,3.485,2.08,5.097,10.29,11.02,1.402,2.382,8.763,47.26,1.408,2.398,7.299,39.583
std,5.148142808273136,1.2495348483885143,0.6579124933065517,0.7521148028570329,5.120559650187774,4.069908494690652,1.456335096024236,1.6493924625435537,1.5987983475586172,4.2274652526617515,6.944791582915236,6.33827845505181,0.7286473268508782,1.6427948060469308,6.768503796530186,31.79791671646912,0.7694986212646081,1.7557558710363679,6.384697593728575,32.050996511456184
min,1.0,3.0,2.0,2.0,1.0,4.0,2.0,2.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25%,6.0,3.0,2.0,2.0,2.0,5.0,2.0,2.0,1.0,2.0,6.0,7.0,1.0,1.0,4.0,25.0,1.0,1.0,3.0,17.0
50%,8.0,3.0,2.0,2.0,4.0,7.0,3.0,3.0,2.0,4.0,8.0,9.0,1.0,2.0,7.0,38.0,1.0,2.0,6.0,31.0
75%,11.0,4.0,2.0,3.0,8.0,9.0,4.0,4.0,3.0,7.0,12.25,13.0,2.0,3.0,11.0,60.0,2.0,3.0,10.0,51.0
max,43.0,13.0,7.0,8.0,46.0,41.0,11.0,13.0,20.0,34.0,49.0,60.0,6.0,11.0,59.0,194.0,7.0,15.0,50.0,191.0
